,userid,post,ques,ans,asker,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3,decision
20,moonbeemashlee,Q: :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?<br>A: bitch i aint fake she is,:] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?, bitch i aint fake she is,brittxxxvanity,Yes,6,"""""""you are fake"""", """"your stuuupid"""", """"fuck off may you?"""", and """"bitch i aint fake she is""""""",Yes,5,"""Q: :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings, your stuuupid :p we all know the real ashlee girls formspring already, soo fuck off may you? A: bitch i aint fake she is""",Yes,1,""":] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings, your stuuupid :p we all know the real ashlee girls formspring already, soo fuck off may you""", bitch i aint fake she is
21,moonbeemashlee,Q: :3 wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :]<br>A: your retarded,: wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :], your retarded,brittxxxvanity,Yes,4,retarded,Yes,7,""""""" :3 wow ashleeee your fakes amuse me lmao, okay, you are retarded to keep this page upp :]""""""",Yes,7,"""calls people """"retarded""""""", your retarded
22,moonbeemashlee,Q: `` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&#039;s for making my day ;D<br>A: your welcome faggot,`` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&#;s for making my day ;D, your welcome faggot,None,Yes,5,"""""""my fucking ass""""""",Yes,6,My fucking ass.,Yes,5,faggot, your welcome faggot
23,moonbeemashlee,Q: 13?r you&#039;re at the perfect age to learn how to suck dick and give hand jobs.<br>A: SICKO,?r you&#;re at the perfect age to learn how to suck dick and give hand jobs., SICKO,None,Yes,10,suck dick hand jobs,Yes,10,"""""""13?r you're at the perfect age to learn how to suck dick and give hand jobs.""""""",Yes,4,learn how to suck dick and give hand jobs., SICKO
24,moonbeemashlee,Q: ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch.<br>A: you ain't pretty pshh don't make me laugh,ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch., you ain't pretty pshh don't make me laugh,None,Yes,9,ugly ass bitch that NO BODY knows,Yes,4,UGLY ass bitch,Yes,8,but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch. you ain't pretty pshh don't make me laugh, you ain't pretty pshh don't make me laugh
25,moonbeemashlee,Q: and you called me fat why?<br>A: i don't know I'm sorry,and you called me fat why?, i don't know I'm sorry,SelmaCampara,Yes,3,called me fat,Yes,3,"""you called me fat, why?""",Yes,2,and you called me fat why?, i don't know I'm sorry
26,moonbeemashlee,Q: are you fake?<br>A: No are you,are you fake?, No are you,None,Yes,4,"""""""are you fake""""""",No,0,,No,0,, No are you
27,moonbeemashlee,Q: are you famous or something? i haven&#039;t heard of you.. [x<br>A: Nopee,are you famous or something? i haven&#;t heard of you.. [x, Nopee,None,Yes,4,i haven't heard of you,No,0,,No,0,, Nopee
28,moonbeemashlee,Q: are you mental? she made a proof video! you cant lie<br>A: are you,are you mental? she made a proof video! you cant lie, are you,brittxxxvanity,Yes,2,are you mental? she made a proof video! you cant lie,No,0,,No,0,, are you
29,moonbeemashlee,Q: baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen<3 go fuck yourself<3<br>A: nope,baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen< go fuck yourself<, nope,brittxxxvanity,Yes,None,None,Yes,7,Bitch are you fucking stupid? Go fuck yourself.,Yes,7,"""bitch, your dumb, go fuck yourself""", nope
30,moonbeemashlee,Q: BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR<br>A: that doesn't even make sense,BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR, that doesn't even make sense,None,Yes,6,A crack heads shit,Yes,9,"""""""YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET""""""",Yes,7,YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET, that doesn't even make sense
31,moonbeemashlee,Q: BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U<br>A: should i care bitch,BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U, should i care bitch,None,Yes,7,entire question and answer,Yes,3,"""""""bitch"""", """"stfu""""""",Yes,7,BITCH, should i care bitch
32,moonbeemashlee,Q: but your fake!!<br>A: I'm not fake (:,but your fake!!, I'm not fake (:,NinaaXD,Yes,7,"""""""but your fake!!""""""",No,0,,No,0,, I'm not fake (:
33,moonbeemashlee,Q: do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.<br>A: cuz i felt like it :) i have one,do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life., cuz i felt like it :) i have one,None,Yes,7,"""""""do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.""""""",Yes,7,fuck shit,No,0,, cuz i felt like it :) i have one
34,moonbeemashlee,Q: Does it make you mad you have tonsssss of hate groups on myspace?<br>A: I don't care anymore,Does it make you mad you have tonsssss of hate groups on myspace?, I don't care anymore,StacyxLane94,Yes,5,Does it make you mad you have tonsssss of hate groups on myspace?,Yes,3,does it make you mad that you have tons of hate groups on myspace,No,0,, I don't care anymore
35,moonbeemashlee,Q: Don&#039;t call her a bitch vv<br>A: just did,Don&#;t call her a bitch vv, just did,None,Yes,3,Don't call her a bitch,Yes,6,Bitch,Yes,5,bitch., just did
36,moonbeemashlee,Q: DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?<br>A: not as stupid as you js[just saying],DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?, not as stupid as you js[just saying],brittxxxvanity,Yes,5,YOUR SO STUPIDDDD Not as stupid as you,Yes,5,Your so stupid STFU & Not as stupid as you,Yes,6,"""YOUR SO STUPIDDDD, delete this accountt""", not as stupid as you js[just saying]
37,moonbeemashlee,Q: dude  ewwwwr go home roger<br>A: back at you,dude  ewwwwr go home roger, back at you,Hollyday,Yes,7,"""""""dude"""" """"ewwwwr go home roger"""" """"back at you""""""",No,0,,No,0,, back at you
38,moonbeemashlee,Q: dude it seems like everyone hates you. you should just delete all your socialing sites. (:<br>A: should i care?,dude it seems like everyone hates you. you should just delete all your socialing sites. (:, should i care?,None,Yes,6,everyone hates you.  delete all your socialing sites.,Yes,10,"""""""dude it seems like everyone hates you. you should just delete all your socialing sites. (:""""""",Yes,5,everyone hates you, should i care?
39,moonbeemashlee,Q: Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23<br>A: k,Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT, k,CommonlyFaked,Yes,2,"""dumb,fake""",Yes,5,"""""""shes dumb"""", """"I told her she was fake"""", """"everyone look""""""",Yes,2,"""I Told Her She Was Fake, Then She Was Like Im Not Fake, Then She Took Bettys Pictures. SHES DUMB!""", k
40,moonbeemashlee,Q: ew you&#039;re gross. ugly. BITCH<br>A: not as gross as you bitch,ew you&#;re gross. ugly. BITCH, not as gross as you bitch,None,Yes,4,Ew; gross; ugly; bitch,Yes,1,,Yes,9,"""""""ew you're gross. ugly. BITCH"""" """"not as gross as you bitch""""""", not as gross as you bitch
41,moonbeemashlee,Q: Faaaaake. :D<br>A: I am not fake,Faaaaake. :D, I am not fake,None,Yes,2,fake,Yes,1,Faaaaake. :D,Yes,3,"""calls people """"fake""""""", I am not fake
42,moonbeemashlee,Q: fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake<br>A: Your fake,fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake, Your fake,None,Yes,8,,Yes,1,fake,Yes,5,fake, Your fake
43,moonbeemashlee,Q: fake!<br>A: I'm not fake,fake!, I'm not fake,None,Yes,3,fake!,No,0,,No,None,, I'm not fake
44,moonbeemashlee,Q: Fake.<br>A: your fake,Fake., your fake,YuleeLover,Yes,1,your fake,Yes,2,Q and A call each other fake.,No,0,, your fake
45,moonbeemashlee,Q: get a life you twisted bitch!<br>A: You get a life,get a life you twisted bitch!, You get a life,JeromeMacabre,Yes,10,"""""""get a life you twisted bitch!""""""",Yes,5,get a life you twisted bitch,Yes,8,"""twisted, bitch""", You get a life
46,moonbeemashlee,Q: GO TO HELL xD<br>A: you go to hell ugly wannabe scene chick.,GO TO HELL xD, you go to hell ugly wannabe scene chick.,autumnxxbottom,Yes,5,"""go to hell, ugly""",Yes,5,Go to hell & you go to hell ugly wannabe scene chick,Yes,6,"""""""GO TO HELL"""" """"you go to hell ugly wannabe scene chick""""""", you go to hell ugly wannabe scene chick.
47,moonbeemashlee,Q: Grosss! Your face is nasty<br>A: so is yours,Grosss! Your face is nasty, so is yours,None,Yes,4,face is nasty,Yes,1,"""""""your face is nasty""""""",Yes,5,Grosss! Your face is nasty, so is yours
48,moonbeemashlee,Q: Grosss! Your face is nasty<br>A: so is yours you don't see me complaining,Grosss! Your face is nasty, so is yours you don't see me complaining,None,Yes,3,your face is nasty,Yes,3,"""""""your face is nasty"""" """"so is yours""""""",Yes,3,your face is nasty, so is yours you don't see me complaining
49,moonbeemashlee,Q: guess what you should do? GET A LIFE. I don&#039;t even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic.<br>A: i have one for your information Nope i ain't messed up,guess what you should do? GET A LIFE. I don&#;t even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic., i have one for your information Nope i ain't messed up,courtneyruiz,Yes,3,None,Yes,3,why would you even start shit with me,Yes,7,"""""""GET A LIFE""""""", i have one for your information Nope i ain't messed up
50,moonbeemashlee,Q: haha lifeless cunt stop writing on my wall you shit faced slut<br>A: yo mamma,haha lifeless cunt stop writing on my wall you shit faced slut, yo mamma,None,Yes,8,stop writing on my wall,Yes,10,"""""""haha lifeless cunt stop writing on my wall you shit faced slut""""""",Yes,8,haha lifeless cunt stop writing on my wall you shit faced slut, yo mamma
51,moonbeemashlee,Q: Have you ever went to someones page &amp; seen them asking theirselves questions  But when you ask them about it  they deny it? I&#039;ve seen it -_-<br>A: yea that is sooo stupid,Have you ever went to someones page &amp; seen them asking theirselves questions  But when you ask them about it  they deny it? I&#;ve seen it -_-, yea that is sooo stupid,SpamQueens,Yes,1,"""But when you ask them about it, they deny it?""",No,0,,No,None,, yea that is sooo stupid
52,moonbeemashlee,Q: heey. how many other formsprings do u have? like 50? damn. get a life.<br>A: you care why?,heey. how many other formsprings do u have? like ? damn. get a life., you care why?,issabitchhxD,Yes,5,damn. get a life.,Yes,3,damn. get a life.,Yes,2,"""""""get a life""""""", you care why?
53,moonbeemashlee,Q: hey everyone  this is the girl that fakes ta<br>A: k,hey everyone  this is the girl that fakes ta, k,CommonlyFaked,Yes,2,fake,Yes,2,"""""""hey everyone this is the girl that fake""""""",Yes,1,this is the girl that fakes ta, k
54,moonbeemashlee,Q: Hey im ashlee im tired of everyone commenting on my damn formspring talking shit<br>A: ..........,Hey im ashlee im tired of everyone commenting on my damn formspring talking shit, ..........,None,Yes,2,Q says everyone is talking shit.,No,0,,No,0,, ..........
55,moonbeemashlee,Q: Hey im ashlee im tired of everyone commenting on my damn formspring talking shit<br>A: ///,Hey im ashlee im tired of everyone commenting on my damn formspring talking shit, ///,None,Yes,1,"""people have been """"talking shit""""""",Yes,1,"""""""I'm tired of everyone commenting on my damn formspring talking shit""""""",No,None,, ///
56,moonbeemashlee,Q: hey why dont you go kill yourself alot of ppl would be really happy :)<br>A: why would i wanna do that?,hey why dont you go kill yourself alot of ppl would be really happy :), why would i wanna do that?,None,Yes,8,Q: hey why dont you go kill yourself alot of ppl would be really happy :),Yes,6,Q: hey why dont you go kill yourself alot of ppl would be really happy :),Yes,5,, why would i wanna do that?
57,moonbeemashlee,Q: heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain&#039;t shit besides an ugly bitch. &amp; beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  &amp; stop hatein on peoples pages before i go off on your ugly ass.<br>A: please bitch what are you going to do nothing. If i were i would get a life,heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain&#;t shit besides an ugly bitch. &amp; beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  &amp; stop hatein on peoples pages before i go off on your ugly ass., please bitch what are you going to do nothing. If i were i would get a life,kmckinleyy,Yes,8,Q calls A a fucking bitch. A fucking stupid ass cunt. Takes an angry tone. A responds in kind.,Yes,10,"""""""Q: heyyy, your an ugly fucking bitch, you think your sexy? haha, you ain't shit besides an ugly bitch. & beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off, & stop hatein on peoples pages before i go off on your ugly ass. A: please bitch what are you going to do nothing. If i were i would get a life""""""",Yes,10,"""Q: heyyy, your an ugly fucking bitch, you think your sexy? haha, you ain't shit besides an ugly bitch. & beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off, & stop hatein on peoples pages before i go off on your ugly ass. A: please bitch what are you going to do nothing. If i were i would get a life""", please bitch what are you going to do nothing. If i were i would get a life
58,moonbeemashlee,Q: hi asslee asshole :D<br>A: Hi anonymous,hi asslee asshole :D, Hi anonymous,None,Yes,3,hi asslee asshole :D,Yes,2,hi asslee asshole,No,0,, Hi anonymous
59,moonbeemashlee,Q: Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I&#039;d love to ram a metal pole up your ass.<br>A: I'd love to see you get hit by a car :),Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I&#;d love to ram a metal pole up your ass., I'd love to see you get hit by a car :),None,Yes,5,I'd love to ram a metal pole up your ass,Yes,4,"""Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was, you missed the toilet and it fell on your ugly clothes, are you poor? You stink like hamster poo. I'd love to ram a metal pole up your ass.""",Yes,9,"""smelly, rotten, vomit, poo, ugly, poor, stink, """"I'd love to ram a metal pole up your ass.""""""", I'd love to see you get hit by a car :)
60,moonbeemashlee,Q: i dont know you  but you seem like a bitch<br>A: I'm not,i dont know you  but you seem like a bitch, I'm not,None,Yes,1,you seem like a bitch,Yes,5,you seem like a bitch,Yes,6,"""""""i dont know you, but you seem like a bitch""""""", I'm not
61,moonbeemashlee,Q: i hope your asswhole gets sniffed by aids<br>A: Hope you get aids (:,i hope your asswhole gets sniffed by aids, Hope you get aids (:,None,Yes,7,i hope your asswhole gets sniffed by aids Hope you get aids (:,Yes,8,"""""""i hope your asswhole gets sniffed by aids"""", """"Hope you get aids (:""""""",Yes,3,"""Asswhole, aids""", Hope you get aids (:
62,moonbeemashlee,Q: i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.<br>A: Are you sure im not dissing you,i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH., Are you sure im not dissing you,None,Yes,6,"""people are """"dissing"""" others""",Yes,1,"""i like how everyone writes you just to insult you. seriously, all your questions are dissing you! HAHAH.""",Yes,3,"""everyone writes you just to insult you, all your questions are dissing you""", Are you sure im not dissing you
63,moonbeemashlee,Q: i never said that i&#039;m 16 or that i&#039;m sexy. dumbasssssss<br>A: are you sure bitch?,i never said that i&#;m  or that i&#;m sexy. dumbasssssss, are you sure bitch?,boomchickarocka,Yes,6,"""sexy, dumbasssssss, bitch""",Yes,5,"""""""dumbasssssss"""" """"are you sure bitch""""""",Yes,10,"""sexy, bitch""", are you sure bitch?
